mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
196.0-198.0 kDa,196.0,198.0,48,0,0,3,Actin family; Lamin family; Tubulin family,,,"CEP152, TRPM3, LOC101747860, DOCK2B, SHROOM2, GCC2, ADAMTSL3, VIRMA, DOCK2B, NRAP, KIDINS220 [Actin family], CHD1W, PLXNA2, UNC13A, LAMB1 [Lamin family], PEAK1, AIM1, TNRC6A",4.65,routine
198.0-200.0 kDa,198.0,200.0,46,0,0,4,Actin family; Lamin family; Tubulin family; p53 pathway,,,"TRPM3, TNRC6C, NALCN, CHD5, LOC101749352, NUP188, LOC101748153 [Lamin family], LAMA4 [Lamin family], LOC421441, ADAMTSL3, NUP210L [p53 pathway], PATJ, THADA, KALRN, ITSN2, ADAMTSL3, KIDINS220 [Actin family], ADAMTSL3",5.3,routine
200.0-202.0 kDa,200.0,202.0,54,0,0,2,Actin family; p53 pathway,,,"UBR2, TJP1, CACNA1I, EPB41L1, NALCN, ADAMTS7, ADAMTSL1, PCSK5, PPL, UNC13A, CHD1W, FOCAD, ARID2, NRCAM, TANC1, KIF1A, VWDE, UBR1",4.2,routine
202.0-204.0 kDa,202.0,204.0,47,0,1,1,Lamin family,,RBBP6,"CDC42BPA, KIAA1549, TSC2, ARHGEF5, TANC1, LAMB4 [Lamin family], MAST2, LOC416924, CHD5, KIAA1671, LAMA4 [Lamin family], KIAA1549, TMEM131, COL14A1, TMEM131, EXPH5, IFT172, KNDC1",4.6,routine
204.0-206.0 kDa,204.0,206.0,46,0,1,2,Actin family; p53 pathway,,TP53BP1,"MAST2, PLXNA2, MAST2, SHANK2, KIF26A, PRG4, GSE1, ECPAS, PPL, UBR3, ZNF236, EXPH5, TSC2, KIF1B, KNDC1, LARP4B, VTG2, TANC1",5.3,routine
206.0-208.0 kDa,206.0,208.0,37,0,0,1,Actin family,,,"BTAF1, , VTG2, PHIP [Actin family], LOC101747860, LOC424300, CPAMD8, MTCL1, KIF26B, PSME4, PATJ, RAI1, PATJ, CACNA1S, CDC42BPA, ARID1A, ZNF106, AK9",2.6,routine
208.0-210.0 kDa,208.0,210.0,55,0,0,2,Histone family; p53 pathway,,,"ARHGAP21 [p53 pathway], NUP214 [p53 pathway], PCSK5, TAF1, MAST2, TCF20, SCRIB, GBF1, ARFGEF1, ITGB4, CHD1, UBR3, GBF1, KAT6A [Histone family], TCF20, TNRC6A, ANK3, PLXND1",4.25,routine
210.0-212.0 kDa,210.0,212.0,65,0,0,2,Histone family; p53 pathway,,,"KIF26A, MTCL1, SCN9A, SCN8A, MAST2, KIF26A, PLXNA2, VWA8, FER1L6, UBR3, SVIL, LOC421255, ZNF236, LMO7, Mylk, RESF1, SBF2, ANK3",4.75,routine
212.0-214.0 kDa,212.0,214.0,47,0,0,2,Actin family; p53 pathway,,,"KIAA1217, PSME4, LRP4, ANK2, ZNF236, NUP214 [p53 pathway], AGRN, SHROOM3, THADA, NAV1, MYO5A, PLXNA4, MAP2, WDR81, CCDC88A, KIF26B, MYO5A, KIF26A",3.85,routine
214.0-216.0 kDa,214.0,216.0,57,0,0,1,p53 pathway,,,"SBF2, TNC, SCN8A, PTPRD, MYH9, MAST2, ADAMTS20, ANK3, MPDZ, SHROOM3, DOCK2, MYO16, OTOF, WDR81, PLXND1, ANK1, DOCK1, SDK1",3.6,routine
